filename,processing_time,codes_found,detection_success,megapixels,file_size_mb,strategies_used,overall_quality_score,resolution_category,contrast_score,contrast_category,sharpness_score,sharpness_category,brightness,lighting_category,noise_level,noise_category,has_qr_code,has_barcode,resolution_range,contrast_range
05102009220.jpg,0.706275,1,1,1.92,0.2484140396118164,1,48.790053591720536,medium,0.24254900488496572,medium,248.45622886145395,moderate,143.92309479166667,optimal,0.9089055199138171,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009222.jpg,0.747711,1,1,1.92,0.25713539123535156,1,51.877985097037424,medium,0.26007926885321253,medium,380.3823191983265,moderate,146.96036979166666,optimal,1.0809475781072606,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009223.jpg,0.551357,1,1,1.92,0.1979227066040039,1,44.71175149364235,medium,0.17980784914292416,medium,161.30507630884082,moderate,147.9458328125,optimal,0.6088821818674623,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009224.jpg,0.572277,1,1,1.92,0.21099090576171875,1,46.680482991395344,medium,0.19181359054134658,medium,211.29979786173502,moderate,144.45390572916668,optimal,0.737915525871235,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009225.jpg,0.48431,1,1,1.92,0.16930103302001953,1,42.77913352873616,medium,0.18449979762592153,medium,62.223698436950656,blurred,146.19957395833333,optimal,0.4556873695676738,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009226.jpg,0.525522,1,1,1.92,0.1966571807861328,1,43.56203815624485,medium,0.1782564377259748,medium,215.22103843604168,moderate,163.2382515625,optimal,0.6688985027075268,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009227.jpg,0.503704,1,1,1.92,0.16147708892822266,1,40.8783540669433,medium,0.16870923733665447,medium,76.24123254501707,blurred,157.9233640625,optimal,0.47311527813770227,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009228.jpg,0.560816,1,1,1.92,0.2013101577758789,1,44.719022284644275,medium,0.16983157601992674,medium,203.07813092193985,moderate,152.966571875,optimal,0.6089640163533725,low,False,True,800x600 - 1920x1080,Low (<0.4)
05102009229.jpg,0.586436,1,1,1.92,0.20151710510253906,1,43.0868281915116,medium,0.17954761856987372,medium,187.0809682281573,moderate,162.20876875,optimal,0.6343737333411387,low,False,True,800x600 - 1920x1080,Low (<0.4)
06102009240.jpg,0.495299,1,1,1.92,0.13164043426513672,1,48.44969949981449,medium,0.25458642649308094,medium,22.33368622371418,blurred,107.96220625,optimal,0.3271118622344067,low,False,True,800x600 - 1920x1080,Low (<0.4)
